threshold	TP	TN	FP	FN	accuracy	sensitivity_recall	specificity	precision	F1	MCC
1.0	381	378	3	0	0.9960629921259843	1.0	0.9921259842519685	0.9921875	0.996078431372549	0.9921567416492215
0.1	381	379	2	0	0.9973753280839895	1.0	0.994750656167979	0.9947780678851175	0.9973821989528796	0.9947643619321286
0.01	380	380	1	1	0.9973753280839895	0.9973753280839895	0.9973753280839895	0.9973753280839895	0.9973753280839895	0.994750656167979
0.001	379	380	1	2	0.9960629921259843	0.994750656167979	0.9973753280839895	0.9973684210526316	0.9960578186596584	0.9921294015992942
0.0001	377	380	1	4	0.9934383202099738	0.989501312335958	0.9973753280839895	0.9973544973544973	0.9934123847167324	0.986907235079649
1e-05	376	380	1	5	0.9921259842519685	0.9868766404199475	0.9973753280839895	0.9973474801061007	0.992084432717678	0.9843062163165572
1e-06	374	381	0	7	0.9908136482939632	0.9816272965879265	1.0	1.0	0.990728476821192	0.9817930157488368
1e-07	374	381	0	7	0.9908136482939632	0.9816272965879265	1.0	1.0	0.990728476821192	0.9817930157488368
1e-08	374	381	0	7	0.9908136482939632	0.9816272965879265	1.0	1.0	0.990728476821192	0.9817930157488368
1e-09	373	381	0	8	0.989501312335958	0.979002624671916	1.0	1.0	0.9893899204244032	0.9792185121828235
1e-10	370	381	0	11	0.9855643044619422	0.9711286089238845	1.0	1.0	0.985352862849534	0.9715336077668174
1e-15	322	381	0	59	0.9225721784776902	0.8451443569553806	1.0	1.0	0.9160739687055476	0.855463723262525
1e-20	207	381	0	174	0.7716535433070866	0.5433070866141733	1.0	1.0	0.7040816326530613	0.6107151324250718
