threshold	TP	TN	FP	FN	accuracy	sensitivity_recall	specificity	precision	F1	MCC
1.0	381	574038	191	0	0.9996676006334732	1.0	0.9996673800870385	0.666083916083916	0.7995802728226652	0.8160038990775247
0.1	381	574197	32	0	0.9999443100537756	1.0	0.9999442731035876	0.9225181598062954	0.9596977329974811	0.9604513265816053
0.01	380	574213	16	1	0.9999704147160683	0.9973753280839895	0.9999721365517938	0.9595959595959596	0.9781209781209782	0.9782887408562907
0.001	379	574219	10	2	0.9999791162701659	0.994750656167979	0.9999825853448712	0.974293059125964	0.9844155844155845	0.9844583425682895
0.0001	377	574221	8	4	0.9999791162701659	0.989501312335958	0.9999860682758969	0.9792207792207792	0.9843342036553524	0.9843371938473421
1e-05	376	574223	6	5	0.9999808565809853	0.9868766404199475	0.9999895512069227	0.9842931937172775	0.9855832241153343	0.9855744936562947
1e-06	374	574227	2	7	0.9999843372026244	0.9816272965879265	0.9999965170689742	0.9946808510638298	0.988110964332893	0.9881247108785584
1e-07	374	574228	1	7	0.9999860775134439	0.9816272965879265	0.9999982585344871	0.9973333333333333	0.9894179894179893	0.9894422271315776
1e-08	374	574229	0	7	0.9999878178242634	0.9816272965879265	1.0	1.0	0.990728476821192	0.9907650228198471
1e-09	373	574229	0	8	0.9999860775134439	0.979002624671916	1.0	1.0	0.9893899204244032	0.9894387225429716
1e-10	370	574229	0	11	0.9999808565809853	0.9711286089238845	1.0	1.0	0.985352862849534	0.9854491393387326
1e-15	322	574229	0	59	0.9998973216616488	0.8451443569553806	1.0	1.0	0.9160739687055476	0.9192701073575723
1e-20	207	574229	0	174	0.9996971859174049	0.5433070866141733	1.0	1.0	0.7040816326530613	0.7369820257564237
