threshold	TP	TN	FP	FN	accuracy	sensitivity_recall	specificity	precision	F1	MCC
1.0	381	574064	165	0	0.9997128487147805	1.0	0.9997126581903736	0.6978021978021978	0.8220064724919094	0.8352255324497211
0.1	380	574203	26	1	0.9999530116078732	0.9973753280839895	0.9999547218966649	0.9359605911330049	0.9656925031766199	0.9661572782125575
0.01	379	574215	14	2	0.9999721550268879	0.994750656167979	0.9999756194828195	0.9643765903307888	0.9793281653746772	0.9794321157635946
0.001	378	574220	9	3	0.9999791162701659	0.9921259842519685	0.999984326810384	0.9767441860465116	0.9843749999999999	0.9843946337801295
0.0001	376	574223	6	5	0.9999808565809853	0.9868766404199475	0.9999895512069227	0.9842931937172775	0.9855832241153343	0.9855744936562947
1e-05	375	574223	6	6	0.9999791162701659	0.984251968503937	0.9999895512069227	0.984251968503937	0.984251968503937	0.9842415197108597
1e-06	374	574228	1	7	0.9999860775134439	0.9816272965879265	0.9999982585344871	0.9973333333333333	0.9894179894179893	0.9894422271315776
1e-07	374	574228	1	7	0.9999860775134439	0.9816272965879265	0.9999982585344871	0.9973333333333333	0.9894179894179893	0.9894422271315776
1e-08	372	574228	1	9	0.9999825968918049	0.9763779527559056	0.9999982585344871	0.9973190348525469	0.9867374005305041	0.986784311782883
1e-09	371	574229	0	10	0.9999825968918049	0.973753280839895	1.0	1.0	0.9867021276595744	0.986780787995811
1e-10	365	574229	0	16	0.9999721550268879	0.958005249343832	1.0	1.0	0.9785522788203753	0.9787637900729333
1e-15	313	574229	0	68	0.9998816588642732	0.821522309711286	1.0	1.0	0.9020172910662824	0.9063250172217009
1e-20	142	574229	0	239	0.9995840657141365	0.37270341207349084	1.0	1.0	0.5430210325047801	0.6103673923361785
