id	evalue	true	predicted
sp|Q8MVC4|TFPIL_IXOSC	0.00014	1	0
sp|P86963|KCP2_PINMA	2.2e-06	1	0
sp|Q11101|YL15_CAEEL	7.5e-05	1	0
sp|O62247|BLI5_CAEEL	0.00033	1	0
sp|Q8WPG5|KUNI_ORNKA	0.0022	1	0
sp|D3GGZ8|BLI5_HAECO	0.042	1	0
sp|A0A1Q1NL17|HA11_HYAAI	0.93	1	0
