id	evalue	true	pred_optimized	pred_conservative
sp|Q11101|YL15_CAEEL	6.1e-06	1	1	0
sp|P86963|KCP2_PINMA	8.4e-06	1	1	0
sp|Q8MVC4|TFPIL_IXOSC	3.2e-05	1	1	0
sp|O62247|BLI5_CAEEL	0.00017	1	1	0
sp|Q8WPG5|KUNI_ORNKA	0.00027	1	1	0
sp|D3GGZ8|BLI5_HAECO	0.0046	1	1	0
sp|A0A1Q1NL17|HA11_HYAAI	0.059	1	1	0
